sumass,age,term,smoker,prem1_LC,prem2_LC,prem3_LC,prem4_LC,prem5_LC,prem1_AC,prem2_AC,prem3_AC,prem4_AC,prem5_AC,prem1_SA,prem2_SA,prem3_SA,prem4_SA,prem5_SA,prem1_CI,prem2_CI,prem3_CI,prem4_CI,prem5_CI,prem1_ML,prem2_ML,prem3_ML,prem4_ML,prem5_ML,prem1_MC,prem2_MC,prem3_MC,prem4_MC,prem5_MC
250000,20,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,20,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,20,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,25,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,30,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,30,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,30,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,30,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
